"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"1193";2003;1;22;0;22;21;3;9;3;68;1;"1"
"1194";1991;3;1;0;0;10;0;0;3;13;0;"1"
"1195";2006;1;5;0;5;0;0;0;3;23;0;"1"
"1196";1952;1;1;0;1;0;0;1;3;2;0;"2"
"1197";1997;1;21;13;21;19;2;6;3;47;1;"1"
"1198";1978;1;0;0;0;0;0;0;3;10;0;"1"
"1199";2009;4;0;0;0;16;0;0;3;4;1;"1"
"1200";2003;4;7;1;0;0;0;0;3;22;0;"1"
"1201";1912;1;0;0;0;0;0;0;3;4;0;"2"
"1202";1981;1;49;0;49;9;2;2;3;32;1;"1"
"1203";1954;1;0;0;0;0;0;0;3;2;0;"2"
"1204";2008;1;0;0;0;1;0;0;3;1;0;"1"
"1205";1936;1;7;0;7;0;0;0;3;9;0;"2"
"1206";1987;1;21;0;21;20;1;1;3;13;1;"1"
"1207";2016;1;2;0;2;0;2;2;3;1;0;"1"
"1208";1988;1;1;0;1;0;0;0;3;22;0;"1"
"1209";1993;2;100;0;92;15;1;3;3;33;1;"1"
"1210";2013;2;0;1;0;4;0;0;3;1;0;"1"
"1211";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1212";2005;1;0;0;0;1;0;0;3;2;0;"1"
"1213";1962;1;0;0;0;0;0;0;3;1;0;"2"
"1214";1956;1;1;0;1;0;0;0;3;2;0;"2"
"1215";2013;1;8;0;8;4;3;6;3;7;0;"1"
"1216";1914;1;0;0;0;0;0;0;3;2;0;"2"
"1217";1913;1;0;0;0;0;0;0;3;32;0;"2"
"1218";2010;1;0;0;0;1;0;0;3;47;0;"1"
"1219";1940;1;0;0;0;0;0;0;3;9;0;"2"
"1220";1993;8;46;0;38;14;2;3;3;6;1;"1"
"1221";2011;1;6;0;6;0;2;2;3;4;0;"1"
"1222";1999;2;60;0;50;18;1;5;3;37;1;"1"
"1223";1916;1;0;0;0;0;0;0;3;28;0;"2"
"1224";1987;2;6;0;1;0;0;0;3;9;0;"1"
"1225";1930;1;0;0;0;0;0;0;3;1;0;"2"
"1226";2005;7;94;1;2;1;0;1;1;63;1;"1"
"1227";1973;1;0;0;0;3;0;0;3;10;1;"1"
"1228";2002;1;10;0;10;0;2;7;3;20;0;"1"
"1229";2011;1;1;0;1;0;1;1;3;4;0;"1"
"1230";2014;1;0;0;0;0;0;0;3;10;0;"1"
"1231";2003;1;6;1;6;8;0;0;3;1;0;"1"
"1232";1920;1;0;0;0;0;0;0;3;5;0;"2"
"1233";1969;1;0;0;0;0;0;0;3;2;0;"2"
"1234";1924;1;0;0;0;0;0;0;3;1;0;"2"
"1235";1928;1;4;0;4;0;0;0;3;1;0;"2"
"1236";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1237";1958;1;5;0;5;0;0;0;3;1;0;"2"
"1238";1987;2;5;0;3;0;1;1;3;25;0;"1"
"1239";2001;4;82;0;75;8;11;27;3;17;1;"1"
"1240";2003;44;35;0;2;0;0;0;3;15;0;"1"
"1241";2020;1;0;2;0;8;0;0;4;19;1;"1"
"1242";2016;1;1;0;1;0;1;1;3;3;0;"1"
"1243";1999;1;2;0;2;3;0;1;3;32;0;"1"
"1244";1917;1;0;0;0;0;0;0;3;5;0;"2"
"1245";1921;1;2;0;2;0;0;0;3;6;0;"2"
"1246";2005;12;22;2;14;14;3;5;3;16;1;"1"
